Algorithm,Max Score,Average Score,Training Time (min),Convergence Episode,Average Episode Length,Score Std Dev
DQN,78,29.2,33.32300734122594,234,654.174,17.651945568824118
Dueling DQN,59,12.586,41.88471680084864,330,493.92,11.920015837032693
Double DQN,26,2.816,23.9351309577624,500,401.344,4.917571455305564
Policy Gradient,1,0.038,19.39191544453303,500,365.964,0.19138771777999253
PPO,2,0.096,7.347037212053935,500,121.572,0.3016055899079582
A3C,32,10.066,17.13114473025004,213,275.38,7.12960774609841
SAC,4,0.354,12.748124281565348,500,242.936,0.5842659783582592
